x,y,label,QCL_1
36.3644523620605,.234396412968636,5.0,1
73.1746673583984,40.009937286377,0.0,2
29.0879745483398,-72.0282974243164,4.0,3
-62.7292251586914,47.9040794372559,1.0,6
-16.3247299194336,-41.6607933044434,9.0,4
-41.5939521789551,77.7446136474609,2.0,6
-91.6622848510742,-12.1262044906616,1.0,7
6.93258714675903,69.2515335083008,3.0,8
-82.3786544799805,-15.2271766662598,1.0,7
13.8551797866821,-36.7959480285645,4.0,4
23.3352603912354,70.079475402832,3.0,8
33.4539222717285,-29.7211112976074,5.0,1
27.9989471435547,42.1200370788574,3.0,8
76.4920349121094,-33.1290130615234,6.0,10
-99.7734222412109,1.58990621566772,1.0,7
-45.4524116516113,-22.360631942749,7.0,5
-18.7605895996094,72.7223739624023,2.0,6
-32.7262153625488,16.714771270752,8.0,9
56.3517913818359,-28.044807434082,6.0,10
-31.7847347259521,-25.3430290222168,9.0,4
24.6828346252441,-92.5102157592773,4.0,3
76.2008361816406,46.0959320068359,0.0,2
-25.627462387085,-29.2033271789551,9.0,4
-62.6025428771973,47.769718170166,1.0,6
-45.2930297851562,27.1297435760498,1.0,9
-19.0662460327148,43.5408782958984,2.0,6
6.00106954574585,-61.6566772460938,4.0,3
17.5272159576416,62.4597854614258,3.0,8
-58.3203277587891,-8.49444580078125,2.0,7
-40.2658462524414,-13.5351533889771,7.0,9
32.8336601257324,38.4299926757812,3.0,8
-36.990364074707,16.7060737609863,8.0,9
88.1780700683594,-40.2107429504395,6.0,10
-33.6887855529785,-23.8392944335938,9.0,5
55.418571472168,47.3619575500488,0.0,2
39.8793983459473,-23.4887962341309,5.0,1
58.4171562194824,-37.9745216369629,6.0,10
59.3742218017578,48.6642265319824,0.0,2
-43.616813659668,-59.220760345459,7.0,5
76.5669021606445,-41.3399429321289,6.0,10
-65.1617431640625,5.04317903518677,1.0,7
-20.1406192779541,20.4169425964355,8.0,9
-48.8263931274414,-49.3533897399902,7.0,5
-32.7027816772461,-29.2409610748291,9.0,5
7.35431718826294,39.3911895751953,3.0,8
-19.3320446014404,-45.7300300598145,9.0,4
-6.59673833847046,4.15841102600098,8.0,9
26.7801513671875,-16.1889381408691,5.0,1
4.05328321456909,34.3834571838379,9.0,8
8.94167613983154,64.5968933105469,3.0,8
33.3367118835449,64.1407012939453,3.0,8
82.7216644287109,24.7120399475098,0.0,2
-70.5602874755859,-48.6865425109863,7.0,5
-.439569741487503,-38.4983406066895,4.0,4
-22.5436038970947,-45.1938362121582,9.0,4
-23.6227645874023,.31320509314537,8.0,9
78.6443557739258,16.3430957794189,0.0,2
-21.550313949585,-24.4426021575928,9.0,4
11.4878692626953,-81.7053298950195,4.0,3
-72.4516677856445,50.2580795288086,1.0,7
31.2387371063232,-89.6681289672852,4.0,3
4.67768430709839,-33.035945892334,4.0,4
55.891529083252,-33.8915367126465,6.0,10
74.7299194335938,46.0971794128418,0.0,2
35.8951148986816,-69.2678604125977,4.0,3
33.0296745300293,-29.2941284179688,5.0,1
